"Long","Lat","S_No_","USIN","State","District","Block_Mand","Village","CCE_Date","Target_Cro","QC_Status","Wet_Weight","Dry_Weight","Yield_kg_h","Bara_Banki_max_GS","Bara_Banki_max_VS","Bara_Banki_min_GS","Bara_Banki_min_VS","Bara_Banki_rf_GS","Bara_Banki_rf_VS","barabanki_10_oct_250m_sm","Barabanki_14_aug_sm_250m","CCCI_Barabanki","CWSI_Barabanki","EVI_241_UP_Bara","EVI_273_UP_Bara","NDVI_241_UP_Bara","NDVI_273_UP_Bara"
81.474023,26.994398,311,57355,"UTTAR PRADESH","Barabanki","Sirauli Gauspur","Baraulia","2020/11/23","Paddy - IR","Accepted",3.295,2.9655,593.1,33.1060066223145,34.0212440490723,18.374174118042,26.0232486724854,0.0465409196913242,646.992614746094,0.317007392644882,0.169012933969498,0.451131194829941,0.294024646282196,0.453900009393692,0.472400009632111,0.652599990367889,0.739799976348877
81.492197,26.996382,321,57324,"UTTAR PRADESH","Barabanki","Sirauli Gauspur","Baraulia","2020/11/23","Paddy - IR","Accepted",4.225,3.8025,760.5,33.1054000854492,34.0102615356445,18.3795280456543,25.9976005554199,0.0536297522485256,675.755554199219,0.335225969552994,0.346460849046707,0.484939515590668,0.218545943498611,0.370200008153915,0.499199986457825,0.402099996805191,0.78329998254776
81.525676,27.015708,817,56142,"UTTAR PRADESH","Barabanki","Sirauli Gauspur","Shekh Pur Tutaru","2020/11/12","Paddy - IR","Accepted",10.92,9.828,1965.6,33.0918731689453,33.9844169616699,18.4140167236328,25.9742031097412,0.059306837618351,753.077575683594,0.321142017841339,0.331717491149902,0.498932182788849,0.174605906009674,0.336499989032745,0.480399996042252,0.454899996519089,0.752099990844727
81.492643,26.96225,851,56034,"UTTAR PRADESH","Barabanki","Sirauli Gauspur","Adra","2020/11/11","Paddy - IR","Accepted",12.21,10.989,2197.8,33.1254501342773,34.0234756469727,18.3367977142334,25.9719486236572,0.0599723160266876,635.01953125,0.302614510059357,0.34263214468956,0.475884526968002,0.098062090575695,0.53710001707077,0.513400018215179,0.855799973011017,0.82260000705719
81.493784,26.959868,855,56027,"UTTAR PRADESH","Barabanki","Sirauli Gauspur","Adra","2020/11/11","Paddy - IR","Accepted",11.39,10.251,2050.2,33.1321334838867,34.0278778076172,18.3225536346436,25.9633960723877,0.0620865002274513,621.440856933594,0.313038796186447,0.343759894371033,0.467579811811447,0.11064637452364,0.485199987888336,0.417100012302399,0.809099972248077,0.713299989700317
81.446522,27.086502,860,56018,"UTTAR PRADESH","Barabanki","Ramnagar","Madna","2020/11/06","Paddy - IR","Accepted",7.19,6.471,1294.2,33.0411491394043,34.0023155212402,18.5095653533936,26.1538944244385,0.0223384294658899,673.404846191406,0.322419434785843,0.32872810959816,0.483470916748047,0.458983778953552,0.25900000333786,0.395399987697601,0.563499987125397,0.66049998998642
81.435397,27.111503,861,56016,"UTTAR PRADESH","Barabanki","Ramnagar","loniyanpurawa","2020/11/06","Paddy - IR","Accepted",7.02,6.318,1263.6,33.0180358886719,33.9971351623535,18.5587577819824,26.2014980316162,0.0157265160232782,668.168518066406,0.320304870605469,0.34263214468956,0.466732829809189,0.455880224704742,0.158399999141693,0.347900003194809,0.432099997997284,0.633599996566772
81.436118,27.111158,862,56015,"UTTAR PRADESH","Barabanki","Ramnagar","chamarahi","2020/11/06","Paddy - IR","Accepted",8.07,7.263,1452.6,33.0180358886719,33.9971351623535,18.5587577819824,26.2014980316162,0.0157265160232782,668.168518066406,0.320304870605469,0.34263214468956,0.483201593160629,0.448909252882004,0.130899995565414,0.366100013256073,0.215900003910065,0.651600003242493
81.439255,27.110195,863,56014,"UTTAR PRADESH","Barabanki","Ramnagar","Manpur","2020/11/05","Paddy - IR","Accepted",10.05,9.045,1809,33.0180358886719,33.9971351623535,18.5587577819824,26.2014980316162,0.0157265160232782,668.168518066406,0.322274953126907,0.340885728597641,0.519589185714722,0.426421791315079,0.203999996185303,0.366100013256073,0.296099990606308,0.651600003242493
81.441868,27.12102,864,56013,"UTTAR PRADESH","Barabanki","Ramnagar","Dihuwa","2020/11/05","Paddy - IR","Accepted",5.56,5.004,1000.8,33.0119209289551,33.9865837097168,18.5733108520508,26.1948585510254,0.0163076557219028,704.318908691406,0.32440185546875,0.350942313671112,0.473956704139709,0.422674030065536,0.564999997615814,0.472799986600876,0.818199992179871,0.726199984550476
81.452297,27.104185,865,56010,"UTTAR PRADESH","Barabanki","Ramnagar","Lahalada","2020/11/11","Paddy - IR","Accepted",8.01,7.209,1441.8,33.0276031494141,33.987922668457,18.5403938293457,26.1578330993652,0.0215331744402647,716.113708496094,0.314543455839157,0.287985980510712,0.467522382736206,0.340958744287491,0.284000009298325,0.25900000333786,0.512199997901917,0.497000008821487
81.45434,27.107237,866,56009,"UTTAR PRADESH","Barabanki","Ramnagar","Ganeshpur","2020/11/05","Paddy - IR","Accepted",7.975,7.1775,1435.5,33.0276031494141,33.987922668457,18.5403938293457,26.1578330993652,0.0215331744402647,716.113708496094,0.331917226314545,0.157083436846733,0.442276418209076,0.365591198205948,0.14190000295639,0.402900010347366,0.281100004911423,0.662899971008301
81.441853,27.113477,867,56008,"UTTAR PRADESH","Barabanki","Ramnagar","Baranpur","2020/11/04","Paddy - IR","Accepted",7.995,7.1955,1439.1,33.019229888916,33.9905166625977,18.5573749542236,26.1846179962158,0.0178153496235609,696.590393066406,0.331342935562134,0.343199551105499,0.489509910345078,0.418250381946564,0.306499987840652,0.446399986743927,0.594399988651276,0.708299994468689
